bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-004_task-rest_bold	0.0033749500000000003	0.010394287200000001	0	29.98318169954773	1.0924074112562816	1.013771689346733	0.4132281930543787	115417.3515625	0.11107870139679418	11	5.5	1.72844685801771	1.6472133333333332	1.9372233333333335	1.6009039073864626	0.0164615	-0.012854758650064468	0.022495517507195473	200	80	80	40	5.2190386790458385	2.5	3.0	3.0	3.300260543823242	137.03036691215493	3.216833709250902	24.821842193603516	2.934920072555542	178027.0	0.27099710404872895	118.8569633483886	73.5918197631836	1.9480629397864915	187.07437510870164	1021.2210693359375	1011.4111938476562	35412.0	736.70458984375	1323.930737304687	193.78988647460938	43.150386810302734
sub-005_task-rest_bold	0.0022511	0.012818384150000002	0	39.51991388879399	1.153407353065327	1.027572228090452	0.4333784691684141	101627.84375	0.17147008475584982	58	29.0	1.8052679040653843	1.7456366666666667	1.9944199999999999	1.6757470455294867	0.0157125	-0.007738105487078428	0.01811569184064865	200	80	80	40	5.096667672029203	2.5	3.0	3.0	3.299984931945801	95.71651125833307	3.8733666676983103	27.05596160888672	3.158118963241577	173076.0	0.14057062566280365	126.0493221282959	75.70252990722656	3.0169944427061814	174.8201031097985	1030.8900146484375	1012.8696899414062	38757.0	760.8076782226562	1348.7575439453124	198.72918701171875	39.274986267089844
sub-006_task-rest_bold	0.00329115	0.0059703776	0	28.52323432422113	1.1219871082914576	1.041122060452261	0.393673859995395	116713.6484375	0.07466268851323292	0	0.0	1.8726076567665924	1.8113166666666667	2.0605433333333334	1.7459629702997768	0.0200644	-0.014386756345629692	0.0164794959127903	200	80	80	40	4.688013750833182	2.5	3.0	3.0	3.2998809814453125	160.14042991677854	2.768389648563306	17.613605499267578	2.705989360809326	180824.0	0.18109222128987312	82.31503601074223	51.529842376708984	3.474068416623827	174.08862025864556	960.232421875	941.2296142578125	32948.0	691.4529327392578	1280.1537170410156	200.77059936523438	51.552001953125
sub-007_task-rest_bold	0.0016478999999999999	0.01097713525	0	34.92244871869346	1.1638200596984922	1.0311824769849247	0.42825719493934117	142655.609375	0.053886987648053	0	0.0	1.6937277557648962	1.6945633333333332	1.8087866666666665	1.5778332672946889	0.0285338	0.002702894853428006	0.0068198456428945065	200	80	80	40	5.947910157386872	2.5	3.0	3.0	3.3002853393554688	129.33073368651839	4.040509777734256	29.8286075592041	3.197624444961548	174225.0	0.07400110363960266	139.26254577636695	86.4599838256836	1.9467259681364268	186.46700046938219	1226.3253173828125	1217.698974609375	38426.0	925.3164978027344	1553.5880737304688	204.7245330810547	44.317420959472656
sub-008_task-rest_bold	0.0024381	0.0096267295	0	33.57637030587941	1.1187906057788943	1.0242525534170857	0.4378819465138885	118161.8828125	0.06848033490150131	1	0.5	1.7858886801107035	1.76191	1.9273766666666667	1.6683793736654435	0.0254618	-0.012295175343751907	0.01912793144583702	200	80	80	40	4.982003654864325	2.5	3.0	3.0	3.300112724304199	113.79754559985572	3.62081768490657	32.284786224365234	3.4350569248199463	171740.0	0.5205440819263458	153.08966751098632	95.7045669555664	1.7174009569257604	226.88718547642728	1215.107666015625	1197.506591796875	40299.0	874.5329833984375	1615.948876953125	240.3634796142578	42.18012237548828
sub-009_task-rest_bold	0.00116085	0.010955033300000002	0	33.00699230170852	1.1333258822110541	0.9844391156783913	0.39001272374704493	132233.578125	0.12346419019053922	18	9.0	1.7938291647496338	1.76121	1.9385733333333333	1.6817041609155678	0.0559676	-0.013298401609063148	0.009926642291247845	200	80	80	40	5.4922966830121664	2.5	3.0	3.0	3.3001880645751953	101.89056568259494	3.74584715376676	19.62674331665039	3.2038252353668213	181079.0	0.1353623867034912	87.42568664550784	56.44520950317383	1.541606572146681	212.32666346892836	1196.4564208984375	1184.914794921875	32625.0	878.8836791992187	1540.4959716796875	215.7379150390625	42.90977478027344
sub-010_task-rest_bold	0.00127885	0.014156892400000001	0	38.49698023587943	1.0792101464321606	1.001049062211055	0.40695939908698586	258597.234375	0.17166002191445903	42	21.0	1.6732677645450351	1.6346533333333333	1.8033933333333334	1.581756626968438	0.00766514	-0.013799788430333138	0.01873553916811943	200	80	80	40	5.0812703391793015	2.5	3.0	3.0	3.2998123168945312	123.35032118546144	2.5202001887859744	23.440582275390625	1.8835718631744385	178648.0	0.028159705363214018	101.98094596862786	77.16487884521484	2.548652090645163	172.98105740138243	984.053466796875	964.3271484375	35069.0	728.74521484375	1299.9843505859374	189.77801513671875	37.065834045410156
sub-011_task-rest_bold	0.0080688	0.01671812935	0	38.21933151150752	1.1453575744723608	1.0469966529145733	0.3909128767452184	155551.375	0.15247985814341986	24	12.0	1.6362411248755981	1.5873666666666668	1.7488466666666669	1.572510041293461	0.00755791	-0.012089028023183346	0.014949689619243145	200	80	80	40	5.110146528649686	2.5	3.0	3.0	3.2998199462890625	222.94059520780473	3.45946051084799	21.67176055908203	2.6834239959716797	181394.0	0.08979074954986571	89.73991661071781	69.0122299194336	2.140053036136777	185.0125409077342	1082.9400634765625	1059.701171875	31802.0	804.5568725585938	1438.627685546875	207.36871337890625	34.01401138305664
sub-012_task-rest_bold	0.00098945	0.011494216499999998	0	28.42079142472364	1.1677386172361806	0.9758822365829148	0.40972592329014507	166888.140625	0.10013911437992604	15	7.5	1.7481913190363236	1.74271	1.88262	1.6192439571089707	0.0359022	-0.007639242801815271	0.013232837431132793	200	80	80	40	5.115538372743184	2.5	3.0	3.0	3.3000030517578125	396.6902405093638	2.754085421055956	14.745089530944824	2.3780035972595215	174416.0	0.10482543334364891	61.414217948913574	55.212894439697266	4.408145540792168	161.61445547464916	1007.640869140625	985.86279296875	38572.0	761.0455718994141	1305.3171752929688	192.71676635742188	50.83595275878906
sub-013_task-rest_bold	0.008139299999999999	0.01163905195	0	36.138301763417104	1.1254450069849247	0.9875130695979897	0.43218615683115796	87540.859375	0.11091859283397883	20	10.0	1.718281716390594	1.6957333333333333	1.82442	1.6346918158384485	0.0189594	-0.0060503315180540085	0.019905826076865196	200	80	80	40	4.503242355059866	2.5	3.0	3.0	3.3001327514648438	130.5721782959494	4.118914450567291	29.61946678161621	3.431455373764038	172989.0	0.2338809221982956	127.03737335205078	93.36438751220703	1.5867740712433607	217.01399942573818	1050.2352294921875	1021.7958374023438	39118.0	746.2682342529297	1437.8444519042969	226.89935302734375	37.63129425048828
